AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
265831,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265831,Agnathiella beckeri,"Sterrer, 1971",accepted,NA,220,Species,265831,Agnathiella beckeri,"Sterrer, 1971",264952,Animalia,Gnathostomulida,NA,Bursovaginoidea,Agnathiellidae,Agnathiella,"WoRMS (2021). Agnathiella beckeri Sterrer, 1971. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265831 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265831,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265832,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265832,Agnathiella nominata,"Sterrer, 2001",accepted,NA,220,Species,265832,Agnathiella nominata,"Sterrer, 2001",264952,Animalia,Gnathostomulida,NA,Bursovaginoidea,Agnathiellidae,Agnathiella,"WoRMS (2021). Agnathiella nominata Sterrer, 2001. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265832 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265832,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
114728,http://www.marinespecies.org/aphia.php?p=taxdetails&id=114728,Paragnathiella trifoliceps,"Sterrer, 1997",accepted,NA,220,Species,114728,Paragnathiella trifoliceps,"Sterrer, 1997",114716,Animalia,Gnathostomulida,NA,Bursovaginoidea,Agnathiellidae,Paragnathiella,"WoRMS (2021). Paragnathiella trifoliceps Sterrer, 1997. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=114728 on 2021-07-19",urn:lsid:marinespecies.org:taxname:114728,1,NA,NA,NA,NA,exact,2006-04-13T06:44:15.073Z
265614,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265614,Austrognatharia atraclava,"Ehlers & Ehlers, 1973",accepted,NA,220,Species,265614,Austrognatharia atraclava,"Ehlers & Ehlers, 1973",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia atraclava Ehlers & Ehlers, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265614 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265614,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265615,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265615,Austrognatharia australis,"Sterrer, 2006",accepted,NA,220,Species,265615,Austrognatharia australis,"Sterrer, 2006",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia australis Sterrer, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265615 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265615,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
767396,http://www.marinespecies.org/aphia.php?p=taxdetails&id=767396,Austrognatharia barbadensis,"Sterrer, 2011",accepted,NA,220,Species,767396,Austrognatharia barbadensis,"Sterrer, 2011",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia barbadensis Sterrer, 2011. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=767396 on 2021-07-19",urn:lsid:marinespecies.org:taxname:767396,1,NA,NA,NA,NA,exact,2014-07-21T16:48:14.477Z
114729,http://www.marinespecies.org/aphia.php?p=taxdetails&id=114729,Austrognatharia boadeni,"Sterrer, 1971",accepted,NA,220,Species,114729,Austrognatharia boadeni,"Sterrer, 1971",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia boadeni Sterrer, 1971. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=114729 on 2021-07-19",urn:lsid:marinespecies.org:taxname:114729,1,NA,NA,NA,NA,exact,2006-04-10T20:34:11.540Z
265616,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265616,Austrognatharia homunculus,"Sterrer, 1991",accepted,NA,220,Species,265616,Austrognatharia homunculus,"Sterrer, 1991",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia homunculus Sterrer, 1991. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265616 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265616,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265617,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265617,Austrognatharia kirsteueri,"Sterrer, 1970",accepted,NA,220,Species,265617,Austrognatharia kirsteueri,"Sterrer, 1970",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia kirsteueri Sterrer, 1970. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265617 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265617,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265618,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265618,Austrognatharia medusifera,"Sterrer, 1998",accepted,NA,220,Species,265618,Austrognatharia medusifera,"Sterrer, 1998",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia medusifera Sterrer, 1998. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265618 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265618,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265619,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265619,Austrognatharia mooreensis,"Sterrer, 1991",accepted,NA,220,Species,265619,Austrognatharia mooreensis,"Sterrer, 1991",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia mooreensis Sterrer, 1991. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265619 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265619,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
871373,http://www.marinespecies.org/aphia.php?p=taxdetails&id=871373,Austrognatharia orientis,"Achatz & Sterrer, 2015",accepted,NA,220,Species,871373,Austrognatharia orientis,"Achatz & Sterrer, 2015",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia orientis Achatz & Sterrer, 2015. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=871373 on 2021-07-19",urn:lsid:marinespecies.org:taxname:871373,1,NA,0,0,NA,exact,2016-03-07T14:43:45.923Z
265620,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265620,Austrognatharia pecten,"Sterrer, 1991",accepted,NA,220,Species,265620,Austrognatharia pecten,"Sterrer, 1991",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia pecten Sterrer, 1991. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265620 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265620,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265621,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265621,Austrognatharia sterreri,"(Kirsteuer, 1969)",accepted,NA,220,Species,265621,Austrognatharia sterreri,"(Kirsteuer, 1969)",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia sterreri (Kirsteuer, 1969). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265621 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265621,1,NA,NA,NA,NA,exact,2019-12-27T11:26:03.243Z
265622,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265622,Austrognatharia stirialis,"Sterrer, 1998",accepted,NA,220,Species,265622,Austrognatharia stirialis,"Sterrer, 1998",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia stirialis Sterrer, 1998. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265622 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265622,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265623,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265623,Austrognatharia strunki,"Farris, 1973",accepted,NA,220,Species,265623,Austrognatharia strunki,"Farris, 1973",114717,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognatharia,"WoRMS (2021). Austrognatharia strunki Farris, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265623 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265623,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265624,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265624,Austrognathia australiensis,"Sterrer, 2001",accepted,NA,220,Species,265624,Austrognathia australiensis,"Sterrer, 2001",114718,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognathia,"WoRMS (2021). Austrognathia australiensis Sterrer, 2001. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265624 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265624,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
265625,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265625,Austrognathia christianae,"Farris, 1977",accepted,NA,220,Species,265625,Austrognathia christianae,"Farris, 1977",114718,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognathia,"WoRMS (2021). Austrognathia christianae Farris, 1977. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265625 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265625,1,NA,NA,NA,NA,exact,2010-01-27T15:18:26.320Z
114730,http://www.marinespecies.org/aphia.php?p=taxdetails&id=114730,Austrognathia clavigera,"Sterrer, 1997",accepted,NA,220,Species,114730,Austrognathia clavigera,"Sterrer, 1997",114718,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognathia,"WoRMS (2021). Austrognathia clavigera Sterrer, 1997. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=114730 on 2021-07-19",urn:lsid:marinespecies.org:taxname:114730,1,NA,NA,NA,NA,exact,2006-04-11T13:44:36.633Z
871372,http://www.marinespecies.org/aphia.php?p=taxdetails&id=871372,Austrognathia glandifera,"Achatz & Sterrer, 2015",accepted,NA,220,Species,871372,Austrognathia glandifera,"Achatz & Sterrer, 2015",114718,Animalia,Gnathostomulida,NA,Bursovaginoidea,Austrognathiidae,Austrognathia,"WoRMS (2021). Austrognathia glandifera Achatz & Sterrer, 2015. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=871372 on 2021-07-19",urn:lsid:marinespecies.org:taxname:871372,1,NA,NA,NA,NA,exact,2016-03-07T14:43:45.923Z
