AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
991171,http://www.marinespecies.org/aphia.php?p=taxdetails&id=991171,Schizambon reticulatus,"MacKinnon in Shergold, Cooper, MacKinnon & Yochelson, 1976",accepted,NA,220,Species,991171,Schizambon reticulatus,"MacKinnon in Shergold, Cooper, MacKinnon & Yochelson, 1976",991170,Animalia,Brachiopoda,Lingulata,Siphonotretida,Siphonotretidae,Schizambon,"WoRMS (2021). Schizambon reticulatus MacKinnon in Shergold, Cooper, MacKinnon & Yochelson, 1976&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=991171 on 2021-07-16",urn:lsid:marinespecies.org:taxname:991171,1,NA,NA,NA,1,exact,2017-05-02T09:47:02.327Z
1468720,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1468720,Torquirhynchia inconstans,"Sowerby, 1816",accepted,NA,220,Species,1468720,Torquirhynchia inconstans,"Sowerby, 1816",1468719,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Torquirhynchia,"WoRMS (2021). Torquirhynchia inconstans Sowerby, 1816&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1468720 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1468720,1,NA,NA,NA,1,exact,2020-11-25T14:11:08.007Z
869257,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869257,Rhynchonella cornea,"Fischer in Davidson, 1886",unaccepted,NA,220,Species,104053,Hispanirhynchia cornea,"(Fischer in Davidson, 1886)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella cornea Fischer in Davidson, 1886. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869257 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869257,1,NA,NA,NA,NA,exact,2016-02-05T06:33:18.710Z
869252,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869252,Rhynchonella doederleini,"Davidson, 1886",unaccepted,NA,220,Species,235404,Acanthobasiliola doederleini,"(Davidson, 1886)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella doederleini Davidson, 1886. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869252 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869252,1,NA,NA,NA,NA,exact,2016-02-05T06:33:18.710Z
1334921,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334921,Rhynchonella gerlachei,"Joubin, 1901",unaccepted,NA,220,Species,235425,Compsothyris racovitzae,"(Joubin, 1901)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella gerlachei Joubin, 1901. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334921 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334921,1,NA,NA,NA,NA,exact,2019-03-20T06:02:30.917Z
869255,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869255,Rhynchonella lucida,"Gould, 1862",unaccepted,NA,220,Species,235410,Basiliola lucida,"(Gould, 1862)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella lucida Gould, 1862. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869255 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869255,1,NA,NA,NA,NA,exact,2016-02-05T06:33:18.710Z
1334983,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334983,Rhynchonella nigricans,"(Sowerby, 1846)",unaccepted,NA,220,Species,235435,Notosaria nigricans,"(Sowerby, 1846)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella nigricans (Sowerby, 1846). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334983 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334983,1,NA,NA,NA,NA,exact,2019-03-20T06:02:30.917Z
871023,http://www.marinespecies.org/aphia.php?p=taxdetails&id=871023,Rhynchonella psittacea,"(Gmelin, 1791)",unaccepted,NA,220,Species,104054,Hemithiris psittacea,"(Gmelin, 1791)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella psittacea (Gmelin, 1791). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=871023 on 2021-07-16",urn:lsid:marinespecies.org:taxname:871023,1,NA,NA,NA,NA,exact,2016-03-01T07:08:16.317Z
869687,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869687,Rhynchonella racovitzae,"Joubin, 1901",unaccepted,NA,220,Species,235425,Compsothyris racovitzae,"(Joubin, 1901)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella racovitzae Joubin, 1901. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869687 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869687,1,NA,NA,NA,NA,exact,2016-02-08T05:55:17.940Z
1468722,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1468722,Rhynchonella subvariabilis,"Davidson, 1852",accepted,NA,220,Species,1468722,Rhynchonella subvariabilis,"Davidson, 1852",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella subvariabilis Davidson, 1852&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1468722 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1468722,1,NA,NA,NA,1,exact,2020-11-25T14:11:08.007Z
869080,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869080,Rhynchonella woodwardi,"Adams, 1863",unaccepted,NA,220,Species,235434,Hemithiris woodwardi,"(Adams, 1863)",869079,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,"WoRMS (2021). Rhynchonella woodwardi Adams, 1863. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869080 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869080,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
147807,http://www.marinespecies.org/aphia.php?p=taxdetails&id=147807,Crania anomala,"(O. F. Müller, 1776)",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania anomala (O. F. Müller, 1776). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=147807 on 2021-07-16",urn:lsid:marinespecies.org:taxname:147807,1,NA,NA,NA,NA,exact,2016-02-08T05:55:17.940Z
1334980,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334980,Crania antarcticaensis,"Hatai, 1965",unaccepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania antarcticaensis Hatai, 1965. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334980 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334980,1,NA,NA,NA,NA,exact,2019-03-20T06:02:30.917Z
869085,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869085,Crania californica,"Berry, 1921",unaccepted,NA,220,Species,235392,Novocrania philippinensis,"(Dall, 1920)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania californica Berry, 1921. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869085 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869085,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
869083,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869083,Crania chathamensis,"Allan, 1940",unaccepted,NA,220,Species,235395,Novocrania chathamensis,"(Allan, 1940)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania chathamensis Allan, 1940. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869083 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869083,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
869170,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869170,Crania hawaiiensis,"Dall, 1920",unaccepted,NA,220,Species,235393,Novocrania hawaiiensis,"(Dall, 1920)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania hawaiiensis Dall, 1920. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869170 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869170,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
869835,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869835,Crania huttoni,"Thomson, 1916",unaccepted,NA,220,Species,235391,Novocrania huttoni,"(Thomson, 1916)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania huttoni Thomson, 1916. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869835 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869835,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
869036,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869036,Crania indonesiensis,"Zezina, 1981",unaccepted,NA,220,Species,235398,Novocrania indonesiensis,"(Zezina, 1981)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania indonesiensis Zezina, 1981. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869036 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869036,1,NA,NA,NA,NA,exact,2018-10-31T06:34:25.273Z
869077,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869077,Crania japonica,"Adams, 1863",unaccepted,NA,220,Species,235386,Novocrania turbinata,"(Poli, 1795)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania japonica Adams, 1863. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869077 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869077,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
1334978,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334978,Crania joubini,"Thomson, 1918",unaccepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania joubini Thomson, 1918. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334978 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334978,1,NA,NA,NA,NA,exact,2019-03-20T06:02:30.917Z
956716,http://www.marinespecies.org/aphia.php?p=taxdetails&id=956716,Crania kermes,"(Da Costa & Humphrey, 1770)",accepted,NA,220,Species,956716,Crania kermes,"(Da Costa & Humphrey, 1770)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania kermes (Da Costa & Humphrey, 1770). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=956716 on 2021-07-16",urn:lsid:marinespecies.org:taxname:956716,1,NA,NA,NA,NA,exact,2017-02-28T11:14:39.843Z
869836,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869836,Crania lecointei,"Joubin, 1901",unaccepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania lecointei Joubin, 1901. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869836 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869836,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
869837,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869837,Crania nysti,"Davidson, 1874",unaccepted,NA,220,Species,235389,Novocrania nysti,"(Davidson, 1874)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania nysti Davidson, 1874&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869837 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869837,1,NA,NA,NA,1,exact,2016-02-09T08:11:10.207Z
1334977,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334977,Crania patagonica,"Dall, 1902",unaccepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania patagonica Dall, 1902. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334977 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334977,1,NA,NA,NA,NA,exact,2019-03-20T06:02:30.917Z
869177,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869177,Crania philippinensis,"Dall, 1920",unaccepted,NA,220,Species,235392,Novocrania philippinensis,"(Dall, 1920)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania philippinensis Dall, 1920. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869177 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869177,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
869189,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869189,Crania pourtalesii,"Dall, 1871",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania pourtalesii Dall, 1871. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869189 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869189,1,NA,NA,NA,NA,exact,2016-02-04T18:29:21.400Z
869838,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869838,Crania roseoradiata,"Jackson, 1952",unaccepted,NA,220,Species,235397,Novocrania roseoradiata,"(Jackson, 1952)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania roseoradiata Jackson, 1952. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869838 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869838,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
869188,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869188,Crania rostrata,"Höninghaus, 1828",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania rostrata Höninghaus, 1828. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869188 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869188,1,NA,NA,NA,NA,exact,2016-02-04T18:29:21.400Z
869889,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869889,Crania striata,"Schumacher, 1817",unaccepted,NA,220,Species,235374,Discina striata,"(Schumacher, 1817)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania striata Schumacher, 1817. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869889 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869889,1,NA,NA,NA,NA,exact,2016-02-10T06:39:09.177Z
869894,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869894,Crania suessii,"Reeve, 1862",unaccepted,NA,220,Species,235386,Novocrania turbinata,"(Poli, 1795)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania suessii Reeve, 1862. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869894 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869894,1,NA,NA,NA,NA,exact,2018-10-31T06:34:25.273Z
869829,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869829,Crania valdiviae,"Helmcke, 1940",unaccepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",147805,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Crania,"WoRMS (2021). Crania valdiviae Helmcke, 1940. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869829 on 2021-07-16",urn:lsid:marinespecies.org:taxname:869829,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
235401,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235401,Craniscus japonicus,"(Adams, 1863)",unaccepted,NA,220,Species,235386,Novocrania turbinata,"(Poli, 1795)",235166,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Craniscus,"WoRMS (2021). Craniscus japonicus (Adams, 1863). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235401 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235401,1,NA,NA,NA,0,exact,2016-02-04T06:26:03.413Z
235403,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235403,Neoancistrocrania norfolki,"Laurin, 1992",accepted,NA,220,Species,235403,Neoancistrocrania norfolki,"Laurin, 1992",235168,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Neoancistrocrania,"WoRMS (2021). Neoancistrocrania norfolki Laurin, 1992. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235403 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235403,1,NA,NA,NA,NA,exact,2016-02-03T07:18:50.347Z
104051,http://www.marinespecies.org/aphia.php?p=taxdetails&id=104051,Neocrania anomala,"(O. F. Müller, 1776)",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",104036,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Neocrania,"WoRMS (2021). Neocrania anomala (O. F. Müller, 1776). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104051 on 2021-07-16",urn:lsid:marinespecies.org:taxname:104051,1,NA,NA,NA,NA,exact,2016-02-10T06:39:09.177Z
1334721,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334721,Neocrania huttoni,"(Thomson, 1916)",unaccepted,NA,220,Species,235391,Novocrania huttoni,"(Thomson, 1916)",104036,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Neocrania,"WoRMS (2021). Neocrania huttoni (Thomson, 1916). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334721 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334721,1,NA,NA,NA,NA,exact,2019-03-19T06:17:07.530Z
1334722,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334722,Neocrania roseoradiata,"(Jackson, 1952)",unaccepted,NA,220,Species,235397,Novocrania roseoradiata,"(Jackson, 1952)",104036,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Neocrania,"WoRMS (2021). Neocrania roseoradiata (Jackson, 1952). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1334722 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1334722,1,NA,NA,NA,NA,exact,2019-03-19T06:17:07.530Z
235400,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235400,Novocrania altivertex,"Zezina, 1990",accepted,NA,220,Species,235400,Novocrania altivertex,"Zezina, 1990",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania altivertex Zezina, 1990. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235400 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235400,1,NA,NA,NA,NA,exact,2016-02-03T07:18:50.347Z
235385,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235385,Novocrania anomala,"(O. F. Müller, 1776)",accepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania anomala (O. F. Müller, 1776). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235385 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235385,1,NA,NA,NA,NA,exact,2016-02-08T05:55:17.940Z
235394,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235394,Novocrania californica,"(Berry, 1921)",unaccepted,NA,220,Species,235392,Novocrania philippinensis,"(Dall, 1920)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania californica (Berry, 1921). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235394 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235394,1,NA,NA,NA,NA,exact,2018-01-10T12:54:09.820Z
235395,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235395,Novocrania chathamensis,"(Allan, 1940)",accepted,NA,220,Species,235395,Novocrania chathamensis,"(Allan, 1940)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania chathamensis (Allan, 1940)&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235395 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235395,1,NA,NA,NA,1,exact,2018-01-11T06:56:01.090Z
235393,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235393,Novocrania hawaiiensis,"(Dall, 1920)",accepted,NA,220,Species,235393,Novocrania hawaiiensis,"(Dall, 1920)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania hawaiiensis (Dall, 1920). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235393 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235393,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
235391,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235391,Novocrania huttoni,"(Thomson, 1916)",accepted,NA,220,Species,235391,Novocrania huttoni,"(Thomson, 1916)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania huttoni (Thomson, 1916). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235391 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235391,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
235398,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235398,Novocrania indonesiensis,"(Zezina, 1981)",accepted,NA,220,Species,235398,Novocrania indonesiensis,"(Zezina, 1981)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania indonesiensis (Zezina, 1981). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235398 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235398,1,NA,NA,NA,NA,exact,2018-10-31T06:34:25.273Z
594497,http://www.marinespecies.org/aphia.php?p=taxdetails&id=594497,Novocrania japonica,"(Adams, 1863)",unaccepted,NA,220,Species,235386,Novocrania turbinata,"(Poli, 1795)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania japonica (Adams, 1863). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=594497 on 2021-07-16",urn:lsid:marinespecies.org:taxname:594497,1,NA,NA,NA,NA,exact,2018-01-10T12:54:09.820Z
235390,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235390,Novocrania lecointei,"(Joubin, 1901)",accepted,NA,220,Species,235390,Novocrania lecointei,"(Joubin, 1901)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania lecointei (Joubin, 1901). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235390 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235390,1,NA,NA,NA,NA,exact,2016-02-09T08:11:10.207Z
235389,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235389,Novocrania nysti,"(Davidson, 1874)",accepted,NA,220,Species,235389,Novocrania nysti,"(Davidson, 1874)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania nysti (Davidson, 1874)&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235389 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235389,1,NA,NA,NA,1,exact,2016-02-09T08:11:10.207Z
235392,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235392,Novocrania philippinensis,"(Dall, 1920)",accepted,NA,220,Species,235392,Novocrania philippinensis,"(Dall, 1920)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania philippinensis (Dall, 1920). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235392 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235392,1,NA,NA,NA,NA,exact,2016-02-04T06:26:03.413Z
235388,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235388,Novocrania pourtalesi,"(Dall, 1871)",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania pourtalesi (Dall, 1871). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235388 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235388,1,NA,NA,NA,NA,exact,2018-01-10T12:54:09.820Z
235399,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235399,Novocrania reevei,"Lee & Brunton, 1986",unaccepted,NA,220,Species,235386,Novocrania turbinata,"(Poli, 1795)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania reevei Lee & Brunton, 1986. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235399 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235399,1,NA,NA,NA,NA,exact,2018-10-31T06:34:25.273Z
235397,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235397,Novocrania roseoradiata,"(Jackson, 1952)",accepted,NA,220,Species,235397,Novocrania roseoradiata,"(Jackson, 1952)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania roseoradiata (Jackson, 1952). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235397 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235397,1,NA,NA,NA,NA,exact,2018-01-11T06:56:01.090Z
235387,http://www.marinespecies.org/aphia.php?p=taxdetails&id=235387,Novocrania rostrata,"(Höninghaus, 1828)",unaccepted,NA,220,Species,235385,Novocrania anomala,"(O. F. Müller, 1776)",235165,Animalia,Brachiopoda,Craniata,Craniida,Craniidae,Novocrania,"WoRMS (2021). Novocrania rostrata (Höninghaus, 1828). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235387 on 2021-07-16",urn:lsid:marinespecies.org:taxname:235387,1,NA,NA,NA,NA,exact,2016-02-04T18:29:21.400Z
